t,px1,px2,px3,px4,nx1,nx2,nx3,nx4,py1,py2,py3,py4,ny1,ny2,ny3,ny4,pz1,pz2,pz3,pz4,nz1,nz2,nz3,nz4,sx,sy,sz,sx_unit,sy_unit,sz_unit
1,0,0,0,0,0.788675135,0.788675135,0.788675135,0.211324865,0,0,0,0,0.211324865,0.211324865,0.788675135,0.788675135,0,0,0,0,0.211324865,0.788675135,0.788675135,0.211324865,-1,-1,-1,-0.577350269,-0.577350269,-0.577350269
2,0,0,0,0,0.779184773,0.840730518,0.779184773,0.225273063,0,0,0,0,0.286818809,0.225273063,0.779184773,0.840730518,0,0,0,0,0.118672705,0.73413016,0.73413016,0.118672705,-1,-1,-0.8,-0.615457455,-0.615457455,-0.492365964
3,0,0,0,0,0.759017887,0.889206798,0.759017887,0.238262244,0,0,0,0,0.368451155,0.238262244,0.759017887,0.889206798,0,0,0,0,0.012768435,0.66371299,0.66371299,0.012768435,-1,-1,-0.6,-0.650944555,-0.650944555,-0.390566733
4,0,0,0,0,0.725338414,0.92946256,0.725338414,0.249048742,0,0,0,0,0.453172888,0.249048742,0.725338414,0.92946256,0,0,0,0,-0.104504648,0.575909169,0.575909169,-0.104504648,-1,-1,-0.4,-0.680413817,-0.680413817,-0.272165527
5,0,0,0,0,0.676353067,0.956409084,0.676353067,0.256269042,0,0,0,0,0.536325058,0.256269042,0.676353067,0.956409084,0,0,0,0,-0.228802208,0.471337834,0.471337834,-0.228802208,-1,-1,-0.2,-0.700140042,-0.700140042,-0.140028008
6,0,0,0,0,0.612372436,0.965925826,0.612372436,0.258819045,0,0,0,0,0.612372436,0.258819045,0.612372436,0.965925826,0,0,0,0,0,0,0,0,-1,-1,0,-0.707106781,-0.707106781,0
7,0,0,0,0,0.536325058,0.956409084,0.536325058,0.256269042,0,0,0,0,0.676353067,0.256269042,0.536325058,0.956409084,-0.228802208,-0.228802208,0.471337834,0.471337834,0,0,0,0,-1,-1,0.2,-0.700140042,-0.700140042,0.140028008
8,0,0,0,0,0.453172888,0.92946256,0.453172888,0.249048742,0,0,0,0,0.725338414,0.249048742,0.453172888,0.92946256,-0.104504648,-0.104504648,0.575909169,0.575909169,0,0,0,0,-1,-1,0.4,-0.680413817,-0.680413817,0.272165527
9,0,0,0,0,0.368451155,0.889206798,0.368451155,0.238262244,0,0,0,0,0.759017887,0.238262244,0.368451155,0.889206798,0.012768435,0.012768435,0.66371299,0.66371299,0,0,0,0,-1,-1,0.6,-0.650944555,-0.650944555,0.390566733
10,0,0,0,0,0.286818809,0.840730518,0.286818809,0.225273063,0,0,0,0,0.779184773,0.225273063,0.286818809,0.840730518,0.118672705,0.118672705,0.73413016,0.73413016,0,0,0,0,-1,-1,0.8,-0.615457455,-0.615457455,0.492365964
11,0,0,0,0,0.211324865,0.788675135,0.211324865,0.211324865,0,0,0,0,0.788675135,0.211324865,0.211324865,0.788675135,0.211324865,0.211324865,0.788675135,0.788675135,0,0,0,0,-1,-1,1,-0.577350269,-0.577350269,0.577350269
12,0,0,0,0,0.840730518,0.779184773,0.840730518,0.286818809,0,0,0,0,0.118672705,0.118672705,0.73413016,0.73413016,0,0,0,0,0.286818809,0.840730518,0.779184773,0.225273063,-1,-0.8,-1,-0.615457455,-0.492365964,-0.64421009
